Date,Station,"Alkalinity, total",Aluminum,Ammonia,Ammonium,Arsenic,BORON,Biochemical oxygen demand,"Biochemical oxygen demand, standard conditions",Cadmium,Chlorophyll a,Chromium,Cobalt,Conductivity,Copper,Depth,Dissolved Inorganic Nitrogen,Dissolved Organic Carbon,Dissolved Oxygen,Escherichia coli,Fecal Coliform,"Fecal Coliform, C","Fecal Coliform, M",Inorganic nitrogen (nitrate and nitrite),Iron,Iron_U,Kjeldahl Nitrogen,Lead,Lithium,Magnesium,Manganese,Mercury,Nitrate,Nitrate & Nitrite,Nitrite,Nitrogen,Organic Carbon,Organic Phosphorus,Orthophosphate,Oxidized Nitrogen,PP,Particulate Organic Carbon,Pheophytin a,Phosphorus,SIF,Secchi,Selenium,Silica,Silver,TCOLI_C,TCOLI_M,TDP,TKNW,"Temperature, water",Total Coliform,Total Hardness,Total hardness,Total suspended solids,Turbidity,Zinc,pH,Watershed,months,month,year,quarter,YearQuart
1995-10-16,AAG01,44.0,,,0.363999993,,,,,,,,,212.0,,0.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.100000001,,,,,,,,14.39999962,,100.0,,67.0,55.0,,7.400000095,Anacostia Mainstem,1995-10,10,1995,4,1995Q4
1993-10-18,AAG01,46.0,,,0.300000012,,,,,,,,,230.333333333,,1.0,,,3.73333334933,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,15.89999962,,70.0,,,26.0,,7.03333330133,Anacostia Mainstem,1993-10,10,1993,4,1993Q4
1994-10-31,AAG01,64.0,,,,,,,,,,,,294.0,,0.5,,,5.049999952,,,,,,,,,,,,,,,,0.012,,,,,,,,,,1.100000024,0.300000012,,,,,,,,14.150000095,,90.0,,50.0,26.0,,7.049999952,Anacostia Mainstem,1994-10,10,1994,4,1994Q4
1994-03-21,AAG01,38.0,,,0.120999999,,,,,,,,,310.0,,0.5,1.4284999965,,12.94999981,,,,,,,,,,,,,,1.299999952,1.3074999455,0.01,,,,0.012,,,,,,,0.600000024,,,,,,,,6.900000095,,128.0,,4.0,13.0,,6.75,Anacostia Mainstem,1994-03,3,1994,1,1994Q1
1996-03-25,AAG01,49.0,,,,,,1.5,,,,,,389.0,,0.0,,,10.5,,140.0,,,,,,,,,,,,,2.349999905,,,,,,,,,,,,0.400000006,,,,,3000.0,,,8.0,,102.0,,6.0,22.0,,7.099999905,Anacostia Mainstem,1996-03,3,1996,1,1996Q1
1995-04-24,AAG01,62.0,,,0.202999994,,,6.099999905,,,,,,311.0,,0.0,0.9794999955,,7.300000191,,,,,,,,,,,,,,0.757000029,0.7764999865,0.026000001,,,,0.005,,,,,,,0.300000012,,,,,,,,13.80000019,,86.0,,,30.0,,7.300000191,Anacostia Mainstem,1995-04,4,1995,2,1995Q2
1994-04-25,AAG01,60.0,,,0.156000003,5.0,,2.099999905,,5.0,,12.0,,303.0,25.0,0.5,0.935000002,,7.4000000955,,,,,,,2400.0,,8.0,,,,0.200000003,0.754000008,0.779999971,0.025,,,,0.008,,,,,,,0.400000006,5.0,,,,,,,17.25,,96.0,,35.0,29.0,88.0,6.900000095,Anacostia Mainstem,1994-04,4,1994,2,1994Q2
1995-05-22,AAG01,56.0,,,,,,,,,,,,249.0,,0.0,,,4.199999809,,,,,,,,,,,,,,,,,,,,,,,,,,,0.300000012,,,,,,,,20.20000076,,88.0,,51.0,27.0,,6.900000095,Anacostia Mainstem,1995-05,5,1995,2,1995Q2
1994-05-23,AAG01,52.0,,,,,,2.5,,,,,,302.0,,0.5,,,8.3000001905,,,,,,,,,,,,,,,,0.412,,,,0.007,,,,,,3.690000057,0.5,,,,,,,,18.89999962,,84.0,,0.0,27.0,,7.0,Anacostia Mainstem,1994-05,5,1994,2,1994Q2
1993-06-15,AAG01,,,,,,,,,,,,,274.666666667,,1.03333333367,,,4.866666635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.1999994933,,,,,,,,Anacostia Mainstem,1993-06,6,1993,2,1993Q2
