Date,Station,Watershed,E.coli,Nitrite,Ammonia,Total Phosphorus,Total Soluble Phosphorus,Ortho-Phosphorus,BOD5,TSS,Chlorophyll a,Phaeophytin a,Hardness,Alkalinity,Turbidity,Dissolved Oxygen,Cadmium,Chromium,Copper,Iron,Lead,Mercury,Zinc,Arsenic,Selenium,Phytoplankton,Zooplankton,Temperature,pH,Seechi Depth,sum
1/15/2008,ANA29,Anacostia,64,,0.015,,,,1.4,,2.8,,138,76,5,14.9,,,,,,,,,,,,5.6,7.9,1,316.615
2/12/2008,ANA29,Anacostia,91,0.019,0.065,,,,2.1,12,3.4,,110,60,15,13.36,,,,,,,,,,,,3.8,8,0.6,319.344
3/4/2008,ANA29,Anacostia,32,0.017,,,,,1.7,22,2.9,,132,74,15,12.62,,,,,,,,,,,,6.5,8.8,1.1,308.637
4/8/2008,ANA29,Anacostia,82,0.025,0.073,,,,1.1,6,0.9,,132,84,20,11.93,,,,,,,,,,,,9.3,8.1,1.1,356.528
5/13/2008,ANA29,Anacostia,1741,,,,,,3.1,65,6.7,,92,54,75,11,,,,,,,,,,,,13.2,7.6,0.1,2068.7
6/10/2008,ANA29,Anacostia,34,,,,,,,,1.7,,118,74,10,7.61,,,,,,,,,,,,28.1,7.8,0.9,282.11
7/8/2008,ANA29,Anacostia,76,0.018,0.115,,,,1,11,4.4,,152,104,10,6.3,,,,,,,,,,,,27.2,8.1,0.6,400.733
8/12/2008,ANA29,Anacostia,380,,,,,,2,13,5.8,,148,98,15,7.77,,,,,,,,,,,,25.9,8.1,0.7,704.27
9/8/2008,ANA29,Anacostia,365,0.019,0.087,,,,1.5,14,7.8,,110,64,35,6.99,,,,,,,,,,,,25,7.7,0.4,637.496
10/7/2008,ANA29,Anacostia,59,0.011,0.025,,,,1.1,2,6.3,,154,100,5,8.53,,,,,,,,,,,,19,8,0.8,363.766
11/18/2008,ANA29,Anacostia,69,,0.053,,,,,,4.3,,176,110,15,9.78,,,,,,,,,,,,9.9,7.8,,401.833
12/16/2008,ANA29,Anacostia,759,,0.038,,,,2.5,,7.6,,116,62,125,12.86,,,,,,,,,,,,5.3,7.5,0.3,1098.098
1/5/2009,ANA29,Anacostia,,,,,,,1.4,,,,,,,,,,,,,,,,,,,,,,1.4
1/13/2009,ANA29,Anacostia,,,,,,,,,3.7,,108,62,30,13.7,,,,,,,,,,,,2.7,7.8,0.5,228.4
2/10/2009,ANA29,Anacostia,613,0.017,,,,,1.9,,0.7,,130,84,10,13,,,,,,,,,,,,3.4,8.4,2.1,866.517
4/20/2009,ANA29,Anacostia,19,,0.049,,,,1.6,22,,,,,,,,,,,5,,,,,,,,,,47.649
5/12/2009,ANA29,Anacostia,132,0.016,0.067,,,,,13,1.7,,86,54,20,9.7,,,,,,,,,,,,16.9,7.5,0.7,341.583
6/16/2009,ANA29,Anacostia,22,0.018,0.02,,,,,9,24.6,,106,78,10,9,,,,,,,,,,,,24.8,8.3,0.7,292.438
7/14/2009,ANA29,Anacostia,378,0.017,0.035,,,,1.6,,7.1,,130,88,10,7.8,,,,,,,,,,,,26.2,8,0.7,657.452
8/11/2009,ANA29,Anacostia,548,0.037,0.06,,,,2.6,7,,,154,92,15,7,,,,,,,,,,,,28.5,7.7,0.7,862.597
9/15/2009,ANA29,Anacostia,189,0.058,,,,,1.8,10,9.4,,112,76,10,6.6,,,,,,,,,,,,22.9,7.6,0.5,445.858
10/6/2009,ANA29,Anacostia,64,0.052,0.137,,,,1.3,,3.8,,132,88,20,7.9,,,,,,,,,,,,16.7,8,0.7,342.589
11/17/2009,ANA29,Anacostia,105,,,,,,1.1,,2.3,,136,92,10,10.7,,,,,,,,,,,,9,8,1.1,375.2
12/8/2009,ANA29,Anacostia,345,0.012,0.033,,,,1.4,,0.6,,118,88,15,12.9,,,,,,,,,,,,2.9,7.7,1.1,592.645
1/12/2010,ANA29,Anacostia,5,0.011,0.016,,,,1,7,0.8,,134,86,10,14.4,,,,,,,,,,,,2.6,7.8,1,269.627
3/16/2010,ANA29,Anacostia,324,0.01,0.054,,,,1.5,137,8.1,,62,40,150,12.7,,,,,,,,,,,,5.3,7.5,0.1,748.264
4/13/2010,ANA29,Anacostia,3,,0.013,,,,1.9,9,18.5,,124,80,10,10.6,,,,,,,,,,,,14.2,8.1,0.7,280.013
5/11/2010,ANA29,Anacostia,6,0.034,0.036,,,,2.6,7,11,,124,88,15,9.4,,,,,,,,,,,,15.4,8.4,0.7,287.57
6/22/2010,ANA29,Anacostia,45,0.034,0.046,,,,4,,24.5,,136,90,20,9,,,,,,,,,,,,25.4,8.4,0.6,362.98
